PIN,sale_price,sale_year,sale_mm,sale_dd,sale_date,snapshot_year,year_built,acres,elevation,dist_water_ft,date,highest,surge_detrended,log_price,surge_x_elev,surge_x_dist
40001 01011,753000,2019,9,25,2019-09-01,2020,1995,0.04,3.070402145385742,98.77155512995874,2019-09-01,9.938,0.5921950532869266,13.531820506782031,1.8182769620990031,58.492026353418524
40001 01012,390000,2015,1,23,2015-01-01,2020,1994,0.04,2.905304431915283,124.38011665413669,2015-01-01,8.964,-0.24188055742184097,12.873902018105829,-0.7027366554718137,-30.085131948496187
40001 02012,550000,2016,8,10,2016-08-01,2020,NA,0.52,4.674818992614746,72.65483664996249,2016-08-01,8.79,-0.4633431730382346,13.217673557208654,-2.1660454654175196,-33.66412254996824
40001 02014,485000,2021,2,26,2021-02-01,2020,NA,0.32,3.144845962524414,109.31170368604401,2021-02-01,8.597,-0.7914227624655099,13.091904169919621,-2.4889026791895774,-86.51177050102021
40001 07008,400000,2019,9,18,2019-09-01,2020,NA,0.25,3.086787700653076,134.14135145175197,2019-09-01,9.938,0.5921950532869266,12.89921982609012,1.827980406873678,79.4378447709506
40001 08006,250000,2014,1,16,2014-01-01,2020,2020,0.28,2.238039970397949,222.20053665525933,2014-01-01,9.207,0.031091509533147633,12.429216196844383,0.06958404107519328,6.908550103687515
40001 08009,180000,2013,3,29,2013-03-01,2020,NA,0.28,2.529806613922119,171.18960483241617,2013-03-01,9.092,-0.058781223375821354,12.100712129872347,-0.14870512767058633,-10.062734401272841
40001 08010,479000,2002,8,13,2002-08-01,2020,2000,0.28,2.565887451171875,205.0855950973002,2002-08-01,9.584,0.7505942253393273,13.079455876393052,1.9259403037202545,153.936063380313
40001 08011,525000,2011,2,25,2011-02-01,2020,2000,0.28,2.544273614883423,244.90430227011748,2011-02-01,8.564,-0.5244557471598326,13.17115354157376,-1.3343589196727337,-128.44146882973195
40001 08013,725000,2018,8,10,2018-08-01,2020,2000,0.28,2.1492114067077637,243.7785423092991,2018-08-01,9.2,-0.1132873069482109,13.493926933836812,-0.24347837232829855,-27.617014549980986
40001 08014,395000,2001,8,15,2001-08-01,2020,1999,0.28,1.9691503047943115,240.86075852588502,2001-08-01,8.948,0.14456629229431622,12.886641043883259,0.2846727585343363,34.82034681928381
40001 08015,675000,2020,11,10,2020-11-01,2020,2003,0.28,2.281651735305786,254.19087212288602,2020-11-01,9.912,0.531131840712187,13.422467969854667,1.2118578860371179,135.0088658028646
40001 09004,325000,2003,7,29,2003-07-01,2020,1932,0.08,3.9583895206451416,117.57891232562672,2003-07-01,8.357,-0.5038322688057856,12.691580461311874,-1.9943643730036877,-59.240050160737056
40001 09004A,375000,2020,12,18,2020-12-01,2020,1932,0.06,4.2140398025512695,101.78177510818854,2020-12-01,9.568,0.18466838315424158,12.834681304952548,0.7781999168847624,18.79587584379781
40001 09005,439000,2012,6,6,2012-06-01,2020,NA,0.2,4.121880531311035,119.77015355378055,2012-06-01,9.742,0.6136362404014717,12.992254692057308,2.529335272617724,73.49530673904886
40001 09007,343000,2015,9,28,2015-09-01,2020,1930,0.17,4.323761940002441,137.73109104029908,2015-09-01,9.814,0.5881654363588104,12.745485726148077,2.5430873281531525,81.00866726189254
40001 09009,439200,2020,12,23,2020-12-01,2020,1930,0.29,4.246450424194336,164.16797247774912,2020-12-01,9.568,0.18466838315424158,12.992710169177458,0.7841851339806113,30.31663404317596
40001 10001,978000,2004,6,28,2004-06-01,2020,2003,0.14,4.415038585662842,122.54950404682359,2004-06-01,8.711,-0.17742299345476012,13.793264949016955,-0.7833293620865718,-21.74309985438368
40001 10005,410000,2008,7,16,2008-07-01,2020,2005,0.12,3.7395451068878174,168.87399389226528,2008-07-01,8.78,-0.2308568340845897,12.92391243868049,-0.8632995442926401,-38.9857155891887
40001 10008,470000,2020,9,24,2020-09-01,2020,2005,0.19,2.912465810775757,193.74754897019108,2020-09-01,9.893,0.5171408710800068,13.060487973686241,1.5061551063753134,100.19477624406089
40001 10009,390000,2014,2,14,2014-02-01,2020,1987,0.14,2.7569901943206787,193.5443586485434,2014-02-01,9.2,0.02154593672327047,12.873902018105829,0.0594019362735105,4.170094504587482
40001 11014,499000,2017,6,6,2017-06-01,2020,1940,0.33,2.263986587524414,191.48481290057808,2017-06-01,9.167,-0.11130620962540216,13.120361374733656,-0.25199576570009136,-21.313448724792657
40001 12002,332000,2020,1,6,2020-01-01,2020,1936,0.53,1.7698004245758057,200.64826988413907,2020-01-01,8.994,-0.36182300744871426,12.712890247898626,-0.6403545122040294,-72.59916044886047
40001 12003,370000,2018,6,8,2018-06-01,2020,1936,0.26,2.1004929542541504,226.6907315880079,2018-06-01,9.122,-0.18627827658039034,12.821258284620408,-0.3912762074877158,-42.227558796961965
40001 13001,725000,2007,3,6,2007-03-01,2020,NA,0.64,2.0530002117156982,318.2482430931271,2007-03-01,8.419,-0.5517845911420289,13.493926933836812,-1.1328138824360454,-175.60447669681017
40002 01003,650000,2012,4,4,2012-04-01,2020,1915,0.23,2.2668585777282715,249.65020901302756,2012-04-01,9.459,0.3356452707692903,13.38472764187182,0.7608603611172939,83.79391200178755
40002 01006,205000,2003,10,29,2003-10-01,2020,1985,0.03,2.7721729278564453,228.72831494112074,2003-10-01,8.856,-0.012386871983480745,12.230765258120545,-0.034338551173428794,-2.833228356172929
40002 01007,250000,2017,6,16,2017-06-01,2020,1985,0.03,2.7916221618652344,229.76874604625814,2017-06-01,9.167,-0.11130620962540216,12.429216196844383,-0.31072488154349015,-25.574688212790605
40002 01010,280000,2020,4,20,2020-04-01,2020,1990,0.03,2.8878173828125,233.72635449476974,2020-04-01,9.476,0.11270450462552262,12.542544882151386,0.325470027578856,26.342013001262316
40002 01011,220000,2017,12,29,2017-12-01,2020,1985,0.03,2.613180637359619,235.316499179514,2017-12-01,9.738,0.4446666992711377,12.301382825334498,1.1619944086139498,104.63741097419388
40002 01013,659000,2019,5,16,2019-05-01,2020,2006,0.16,2.3348488807678223,209.75593544472963,2019-05-01,9.164,-0.17170477072550305,13.398478813484644,-0.40090469175093635,-36.01609480385072
40002 02005,390000,2019,3,25,2019-03-01,2020,1986,0.2,1.8267312049865723,145.1902964916013,2019-03-01,9.423,0.09230425964231725,12.873902018105829,0.16861507144180363,13.401682824905789
40002 02006,450000,2019,4,26,2019-04-01,2020,1986,0.2,1.949913501739502,129.2318909113911,2019-04-01,9.092,-0.24124131316755795,13.017002861746503,-0.4703996937227887,-31.176071066590588
40002 02009,305000,2003,7,3,2003-07-01,2020,NA,0.21,2.4521725177764893,184.00468066437838,2003-07-01,8.357,-0.5038322688057856,12.628067055589549,-1.2354836431345242,-92.70749573001783
40002 02011,387000,2019,5,3,2019-05-01,2020,1915,0.46,2.2044503688812256,223.75817914231396,2019-05-01,9.164,-0.17170477072550305,12.866179972011919,-0.37851464516450145,-38.420346847587055
40002 02012,185000,2016,4,21,2016-04-01,2020,NA,0.23,2.2000064849853516,161.62128182537168,2016-04-01,9.02,-0.2233251123025942,12.128111104060462,-0.49131669532578914,-36.09409091414036
40002 03002,300000,2020,10,5,2020-10-01,2020,1915,0.16,2.848207950592041,201.267121451125,2020-10-01,9.935,0.5566774135220625,12.611537753638338,1.5855330351085517,112.04086059644308
