"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2000/01/01","00:00","9.141","7.33","6.943","3.613","3.457","-0.029","-0.268","-1.741","0"
"2000/02/01","00:00","8.616","7.074","6.812","3.41","3.267","-0.278","-0.537","-2.207","0"
"2000/03/01","00:00","8.905","7.35","7.041","3.738","3.588","0.135","-0.042","-1.462","0"
"2000/04/01","00:00","8.255","7.383","7.045","3.682","3.52","-0.006","-0.203","-1.804","0"
"2000/05/01","00:00","9.194","7.721","7.271","3.859","3.69","0.109","-0.111","-1.479","0"
"2000/06/01","00:00","9.25","7.648","7.176","3.767","3.59","0.004","-0.219","-1.528","0"
"2000/07/01","00:00","NaN","7.908","7.478","4.033","3.862","0.247","-0.019","NaN","13"
"2000/08/01","00:00","9.243","7.954","7.566","4.204","4.008","0.45","0.221","-1.407","0"
"2000/09/01","00:00","NaN","8.055","7.776","4.528","4.361","0.946","0.752","NaN","13"
"2000/10/01","00:00","8.744","7.98","7.737","4.538","4.358","0.978","0.831","-0.144","0"
"2000/11/01","00:00","9.148","7.773","7.402","4.161","4.003","0.604","0.401","-1.006","0"
"2000/12/01","00:00","8.967","7.324","6.914","3.643","3.516","0.119","-0.219","-1.735","0"
"2001/01/01","00:00","8.833","7.019","6.654","3.265","3.132","-0.39","-0.678","-2.591","0"
"2001/02/01","00:00","8.341","7.081","6.786","3.321","3.191","-0.403","-0.606","-2.391","0"
"2001/03/01","00:00","8.997","7.311","7.035","3.682","3.523","0.011","-0.222","-1.813","0"
"2001/04/01","00:00","8.216","7.176","6.861","3.446","3.3","-0.262","-0.498","-1.928","0"
"2001/05/01","00:00","8.889","7.727","7.324","3.971","3.802","0.28","0.103","-0.901","0"
"2001/06/01","00:00","8.57","7.54","7.11","3.702","3.531","-0.048","-0.245","-1.249","0"
"2001/07/01","00:00","9.87","7.711","7.278","3.948","3.782","0.286","0.057","-1.111","0"
"2001/08/01","00:00","8.948","7.576","7.169","3.856","3.688","0.208","0.017","-1.771","0"
"2001/09/01","00:00","9.991","7.963","7.658","4.538","4.377","1.097","0.939","-0.212","0"
"2001/10/01","00:00","9.013","7.901","7.586","4.43","4.259","0.933","0.772","-0.957","0"
"2001/11/01","00:00","9.171","7.816","7.402","4.2","4.054","0.706","0.555","-0.239","0"
"2001/12/01","00:00","8.469","7.573","7.127","3.83","3.679","0.23","-0.025","-1.476","0"
"2002/01/01","00:00","8.495","7.009","6.595","3.16","3.021","-0.554","-0.813","-2.04","0"
"2002/02/01","00:00","8.442","7.189","6.858","3.547","3.418","-0.022","-0.216","-2.329","0"
"2002/03/01","00:00","9.069","7.37","7.045","3.587","3.429","-0.186","-0.35","-1.807","0"
"2002/04/01","00:00","9.259","7.576","7.209","3.875","3.718","0.227","0.047","-1.558","0"
"2002/05/01","00:00","8.784","7.665","7.173","3.941","3.761","0.349","0.145","-1.157","0"
"2002/06/01","00:00","8.695","7.829","7.373","4.151","3.98","0.588","0.368","-0.652","0"
"2002/07/01","00:00","8.823","7.465","7.005","3.748","3.585","0.165","-0.062","-1.394","0"
"2002/08/01","00:00","9.584","7.829","7.429","4.295","4.105","0.782","0.598","-0.242","0"
"2002/09/01","00:00","9.102","7.97","7.609","4.499","4.318","1.028","0.851","-0.567","0"
"2002/10/01","00:00","9.141","8.039","7.708","4.601","4.428","1.149","0.946","-1.033","0"
"2002/11/01","00:00","9.082","7.448","7.068","3.816","3.662","0.257","0.027","-2.591","0"
"2002/12/01","00:00","9.61","7.399","6.92","3.541","3.406","-0.107","-0.337","-1.918","0"
"2003/01/01","00:00","8.616","6.91","6.484","3.154","3.019","-0.445","-0.708","-1.968","0"
"2003/02/01","00:00","8.295","6.917","6.589","3.305","3.17","-0.249","-0.478","-1.551","0"
"2003/03/01","00:00","9.062","7.668","7.301","4","3.856","0.411","0.198","-0.944","0"
"2003/04/01","00:00","9.653","7.783","7.429","4.092","3.926","0.424","0.234","-1.164","0"
"2003/05/01","00:00","9.286","7.694","7.248","3.935","3.784","0.319","0.158","-1.482","0"
"2003/06/01","00:00","8.777","7.612","7.094","3.748","3.603","0.112","-0.114","-1.567","0"
"2003/07/01","00:00","8.357","7.228","6.713","3.291","3.162","-0.39","-0.609","-1.827","0"
"2003/08/01","00:00","8.269","7.389","6.979","3.531","3.39","-0.199","-0.396","-1.413","0"
"2003/09/01","00:00","9.076","8.029","7.704","4.515","4.332","0.959","0.778","-0.557","0"
"2003/10/01","00:00","8.856","7.898","7.543","4.404","4.208","0.874","0.703","-0.783","0"
"2003/11/01","00:00","9.013","7.694","7.294","4.135","3.979","0.664","0.486","-1.312","0"
"2003/12/01","00:00","8.675","7.291","6.874","3.652","3.528","0.181","-0.084","-1.594","0"
"2004/01/01","00:00","8.524","7.114","6.694","3.492","3.362","0.03","-0.209","-1.804","0"
"2004/02/01","00:00","8.574","7.301","6.95","3.738","3.603","0.257","-0.012","-1.682","0"
"2004/03/01","00:00","8.134","7.127","6.753","3.541","3.416","0.08","-0.107","-2.247","0"
"2004/04/01","00:00","8.446","7.019","6.638","3.38","3.259","-0.121","-0.294","-1.748","0"
"2004/05/01","00:00","8.662","7.307","6.841","3.515","3.365","-0.111","-0.285","-1.597","0"
